Time (min),Temperature (°C),Weight (mg),Heat Flow (mW),Temperature Difference (°C),Temperature Difference (µV),Sample Purge Flow (mL/min),Deriv. Weight (%/°C),Deriv. Heat Flow (W/(g·°C))
1.846,45.17797,9.855928,-4.126934,-0.1521148,-1.027609,99.96928,-0.00097995,-0.0018348
1.854334,45.28197,9.855975,-4.129028,-0.1523231,-1.029367,100.013,-0.0009597,-0.001867
1.862666,45.38086,9.856032,-4.130994,-0.1525147,-1.031014,100.008,-0.0009379,-0.0018987
1.871,45.47832,9.856084,-4.132748,-0.1526788,-1.032474,100.0053,-0.00091766,-0.0019299
1.879334,45.57956,9.856152,-4.13474,-0.152874,-1.034144,99.96595,-0.00089684,-0.0019609
1.887666,45.68274,9.856219,-4.13664,-0.153057,-1.035734,99.99512,-0.00087905,-0.0019915
1.896,45.7834,9.856241,-4.138428,-0.1532255,-1.037224,99.99982,-0.00086718,-0.002022
1.904334,45.8825,9.856258,-4.14065,-0.1534501,-1.039095,100.0024,-0.00085474,-0.0020523
1.912666,45.98312,9.856256,-4.143024,-0.1536942,-1.0411,99.99753,-0.00083632,-0.0020939
1.921,46.08762,9.856239,-4.145197,-0.1539121,-1.042928,100.0329,-0.00083152,-0.0021375
1.929334,46.19168,9.856219,-4.147334,-0.1541249,-1.044724,99.97949,-0.00083074,-0.0021655
1.937666,46.29878,9.856218,-4.149405,-0.1543293,-1.046463,100.0146,-0.00083046,-0.002193
1.946,46.39316,9.856197,-4.15207,-0.1546101,-1.048723,100.0194,-0.00083069,-0.00222
1.954334,46.49612,9.856189,-4.154736,-0.1548909,-1.050983,99.99425,-0.00083052,-0.0022466
1.962666,46.59648,9.856155,-4.157308,-0.1551591,-1.053161,99.98716,-0.00082857,-0.0022731
1.971,46.69894,9.856144,-4.159543,-0.1553838,-1.055042,99.99195,-0.000826,-0.0022988
1.979334,46.80214,9.856134,-4.161633,-0.1555896,-1.056798,100.015,-0.00082201,-0.0023237
1.987666,46.90589,9.856164,-4.163765,-0.1558004,-1.058589,99.97637,-0.00081687,-0.0023483
1.996,47.00881,9.856192,-4.166078,-0.1560341,-1.060539,99.96634,-0.00080854,-0.002373
2.004334,47.1076,9.856234,-4.16871,-0.1563092,-1.062769,100.0192,-0.00079746,-0.0023971
2.012666,47.20865,9.856264,-4.171195,-0.156565,-1.06487,99.98541,-0.00078679,-0.0024209
2.021,47.31186,9.856281,-4.173684,-0.1568216,-1.066975,100.021,-0.00077605,-0.0024444
2.029334,47.41072,9.856314,-4.175904,-0.1570433,-1.068844,99.97788,-0.0007636,-0.0024677
2.037666,47.50915,9.856348,-4.178208,-0.1572756,-1.070787,100.0221,-0.00074842,-0.0024903
2.046,47.60953,9.856418,-4.1803,-0.1574807,-1.072545,99.98424,-0.00072888,-0.0025126
2.054334,47.71081,9.856472,-4.182978,-0.157761,-1.074814,99.97672,-0.00069539,-0.002543
2.062666,47.81284,9.856514,-4.18597,-0.1580819,-1.077362,100.0144,-0.00068275,-0.0025647
2.071,47.91441,9.856497,-4.188828,-0.158385,-1.07979,100.0182,-0.00066802,-0.002586
2.079333,48.01225,9.856495,-4.191531,-0.1586685,-1.082083,100.0107,-0.00065643,-0.0026068
2.087666,48.11222,9.856476,-4.194248,-0.1589535,-1.084389,100.0181,-0.00064442,-0.0026279
2.096,48.21616,9.856476,-4.196906,-0.1592306,-1.086642,100.0018,-0.00062775,-0.0026488
2.104334,48.31922,9.856472,-4.199616,-0.1595144,-1.088942,99.98991,-0.00061258,-0.0026692
2.112666,48.41756,9.8565,-4.202266,-0.1597902,-1.091188,100.0847,-0.00059852,-0.0026889
2.121,48.51694,9.856508,-4.204705,-0.1600389,-1.093251,99.94051,-0.00058474,-0.0027085
2.129333,48.61648,9.856491,-4.207469,-0.160329,-1.095597,99.99054,-0.00057416,-0.0027278
2.137666,48.71985,9.856454,-4.210433,-0.1606442,-1.098118,99.98955,-0.00056244,-0.0027471
2.146,48.82004,9.856456,-4.213428,-0.1609635,-1.100668,100.0149,-0.00054791,-0.0027659
